bol_window,bol_std,long_ma,sharpe_ratio,win_rate
25,2.0,350,1.4367395369616476,39.76377952755906
25,2.5,350,1.4367395369616476,39.76377952755906
25,2.0,300,1.421131039953714,39.6551724137931
25,2.5,300,1.421131039953714,39.6551724137931
20,1.0,300,1.3179637897689698,32.17768147345612
20,1.5,300,1.3179637897689698,32.17768147345612
20,2.0,300,1.2799285214994598,38.83495145631068
20,2.5,300,1.2799285214994598,38.83495145631068
20,2.0,350,1.2789936049199166,38.62876254180602
20,2.5,350,1.2789936049199166,38.62876254180602
25,1.0,350,1.2393910817836873,32.69230769230769
25,1.5,350,1.2393910817836873,32.69230769230769
25,1.0,300,1.2388910803352582,32.957393483709275
25,1.5,300,1.2388910803352582,32.957393483709275
20,1.0,350,1.2264683031044865,32.04419889502763
20,1.5,350,1.2264683031044865,32.04419889502763
