bol_window,bol_std,long_ma,short_ma,sharpe_ratio,win_rate
40,2.0,550,100,2.418623240497828,38.297872340425535
40,2.5,550,100,2.418623240497828,38.297872340425535
40,2.0,500,100,2.387704560608851,38.23529411764706
40,2.5,500,100,2.387704560608851,38.23529411764706
40,2.0,550,90,2.3467824989935875,36.47540983606557
40,2.5,550,90,2.3467824989935875,36.47540983606557
40,2.0,650,100,2.3467120019354204,37.99126637554585
40,2.5,650,100,2.3467120019354204,37.99126637554585
40,2.0,550,110,2.334492593207506,37.60683760683761
40,2.5,550,110,2.334492593207506,37.60683760683761
40,2.0,600,100,2.334254941385641,37.76824034334764
40,2.5,600,100,2.334254941385641,37.76824034334764
40,2.0,700,100,2.323584420836687,39.46188340807175
40,2.5,700,100,2.323584420836687,39.46188340807175
40,2.0,500,90,2.2943300877030604,36.43724696356275
40,2.5,500,90,2.2943300877030604,36.43724696356275
40,2.0,500,110,2.293698770969751,37.552742616033754
40,2.5,500,110,2.293698770969751,37.552742616033754
40,2.0,600,90,2.2904331586949875,36.09958506224066
40,2.5,600,90,2.2904331586949875,36.09958506224066
40,2.0,650,90,2.289350067166955,36.708860759493675
40,2.5,650,90,2.289350067166955,36.708860759493675
40,2.0,700,90,2.2718161253382982,37.66233766233766
40,2.5,700,90,2.2718161253382982,37.66233766233766
40,2.0,800,100,2.253019369272719,38.73873873873874
40,2.5,800,100,2.253019369272719,38.73873873873874
40,2.0,650,110,2.2501367495699602,36.681222707423586
40,2.5,650,110,2.2501367495699602,36.681222707423586
50,2.0,550,100,2.249345513166406,40.36697247706422
50,2.5,550,100,2.249345513166406,40.36697247706422
40,2.0,550,80,2.246801118682459,37.890625
40,2.5,550,80,2.246801118682459,37.890625
40,2.0,750,100,2.2382376939567634,38.91402714932127
40,2.5,750,100,2.2382376939567634,38.91402714932127
40,2.0,600,110,2.2376928315947926,37.06896551724138
40,2.5,600,110,2.2376928315947926,37.06896551724138
40,2.0,700,110,2.232821289677321,37.77777777777778
40,2.5,700,110,2.232821289677321,37.77777777777778
70,2.0,550,110,2.2316106028381193,41.11111111111111
70,2.5,550,110,2.2316106028381193,41.11111111111111
80,2.0,550,100,2.2240380616916715,43.42857142857143
80,2.5,550,100,2.2240380616916715,43.42857142857143
140,1.0,500,100,2.218075438003546,39.90384615384615
140,1.5,500,100,2.218075438003546,39.90384615384615
70,2.0,550,100,2.2159208612594057,45.108695652173914
70,2.5,550,100,2.2159208612594057,45.108695652173914
150,1.0,800,100,2.2153305751654395,40.32258064516129
150,1.5,800,100,2.2153305751654395,40.32258064516129
120,1.0,800,100,2.2117037648518285,39.175257731958766
120,1.5,800,100,2.2117037648518285,39.175257731958766
80,2.0,550,110,2.2047257449274382,41.17647058823529
80,2.5,550,110,2.2047257449274382,41.17647058823529
50,2.0,650,100,2.203306883205155,39.523809523809526
50,2.5,650,100,2.203306883205155,39.523809523809526
50,2.0,550,90,2.201456075823528,38.05309734513274
50,2.5,550,90,2.201456075823528,38.05309734513274
50,2.0,500,100,2.1994257173234764,40.0
50,2.5,500,100,2.1994257173234764,40.0
70,2.0,550,90,2.1972465640018304,42.2680412371134
70,2.5,550,90,2.1972465640018304,42.2680412371134
50,2.0,550,110,2.195796737845943,37.96296296296296
50,2.5,550,110,2.195796737845943,37.96296296296296
150,1.0,700,100,2.18775527988527,38.095238095238095
150,1.5,700,100,2.18775527988527,38.095238095238095
50,2.0,600,100,2.1869283422587773,39.351851851851855
50,2.5,600,100,2.1869283422587773,39.351851851851855
40,2.0,750,90,2.1843903075726,36.95652173913043
40,2.5,750,90,2.1843903075726,36.95652173913043
150,1.0,800,90,2.179843632644827,40.38461538461539
150,1.5,800,90,2.179843632644827,40.38461538461539
40,2.0,500,80,2.179075059475662,37.69230769230769
40,2.5,500,80,2.179075059475662,37.69230769230769
40,2.0,800,90,2.177678266073161,37.391304347826086
40,2.5,800,90,2.177678266073161,37.391304347826086
