date,open,high,low,close,volume
1667005200000,13.724,13.742,13.526,13.591,273222.33
1667008800000,13.59,13.603,13.5,13.59,82291.45
1667012400000,13.589,13.747,13.543,13.673,144443.27
1667016000000,13.674,13.697,13.533,13.573,61651.23
1667019600000,13.573,13.645,13.517,13.549,69062.21
1667023200000,13.549,13.626,13.508,13.531,61520.36
1667026800000,13.523,13.655,13.491,13.648,101299.19
1667030400000,13.65,13.817,13.589,13.718,222477.93
1667034000000,13.719,13.823,13.675,13.694,171340.13
1667037600000,13.693,13.75,13.449,13.5,209815.81
1667041200000,13.51,13.525,13.381,13.405,133261.22
1667044800000,13.406,13.557,13.388,13.541,129922.41
1667048400000,13.54,13.545,13.34,13.445,128724.59
1667052000000,13.443,13.559,13.378,13.41,189956.53
1667055600000,13.409,13.607,13.398,13.464,193811.78
1667059200000,13.464,13.731,13.423,13.664,233750.94
1667062800000,13.658,13.768,13.477,13.497,150199.84
1667066400000,13.495,13.695,13.439,13.651,139529.65
1667070000000,13.65,13.679,13.503,13.615,66550
1667073600000,13.615,13.696,13.581,13.667,54581.35
1667077200000,13.668,13.691,13.534,13.536,50474.52
1667080800000,13.536,13.557,13.36,13.432,95934.7
1667084400000,13.431,13.476,13.375,13.472,52220.36
1667088000000,13.473,13.505,13.32,13.33,116453.14
1667091600000,13.332,13.448,13.304,13.445,71656.42
1667095200000,13.445,13.456,13.316,13.361,91362.95
1667098800000,13.361,13.441,13.36,13.403,34929.13
1667102400000,13.402,13.45,13.361,13.376,59684.08
1667106000000,13.371,13.498,13.371,13.476,60650.63
1667109600000,13.472,13.554,13.41,13.537,84901.17
1667113200000,13.536,13.717,13.503,13.693,129396.51
1667116800000,13.692,13.76,13.5,13.648,144019.77
1667120400000,13.647,13.806,13.44,13.576,171604.7
1667124000000,13.576,13.7,13.525,13.622,83595.26
1667127600000,13.622,13.721,13.554,13.693,94762.23
1667131200000,13.692,13.9,13.607,13.835,280990.68
1667134800000,13.836,13.86,13.6,13.612,159742.43
1667138400000,13.611,13.7,13.558,13.688,118655.71
1667142000000,13.689,13.85,13.551,13.573,180340.84
1667145600000,13.57,13.814,13.491,13.666,194897.38
1667149200000,13.669,14.017,13.661,13.971,261103.24
1667152800000,13.966,14.13,13.873,14.008,184899.28
1667156400000,14.007,14.02,13.925,13.949,90274.69
1667160000000,13.952,14.006,13.884,13.945,79045.37
1667163600000,13.945,14.086,13.945,14.052,71553.7
1667167200000,14.053,14.062,13.699,13.882,181090.18
1667170800000,13.879,13.982,13.863,13.92,85705.47
1667174400000,13.92,14.232,13.894,14.064,249210.86
1667178000000,14.064,14.095,13.83,13.899,200990.18
1667181600000,13.895,13.931,13.783,13.877,83183.16
1667185200000,13.877,14.166,13.873,14.129,160740.1
1667188800000,14.129,14.17,14.032,14.092,84797.85
1667192400000,14.092,14.412,14.068,14.274,214163.91
1667196000000,14.275,14.306,14.124,14.197,184799.99
1667199600000,14.198,14.227,14.031,14.122,129261.9
1667203200000,14.125,14.133,13.934,13.973,111462.14
1667206800000,13.968,14.233,13.957,14.168,138930.56
1667210400000,14.172,14.282,14.16,14.276,97346.84
1667214000000,14.281,14.36,14.253,14.255,137816.57
1667217600000,14.254,14.321,14.167,14.213,94956.51
1667221200000,14.212,14.354,13.837,13.854,183526.46
1667224800000,13.849,14.08,13.808,13.934,287490.66
1667228400000,13.931,14.164,13.861,14.095,147687.2
1667232000000,14.094,14.5,14.087,14.336,511712.04
1667235600000,14.332,14.391,14.248,14.269,91976.03
1667239200000,14.268,14.34,14.207,14.286,83402.81
1667242800000,14.289,14.313,14.15,14.168,56777.58
1667246400000,14.169,14.27,14.13,14.159,53667.59
1667250000000,14.16,14.221,14.04,14.054,47071.99
1667253600000,14.053,14.475,14.033,14.355,150723.84
1667257200000,14.356,14.39,14.259,14.319,69109.69
1667260800000,14.321,14.462,14.291,14.317,121248.74
1667264400000,14.317,14.39,14.255,14.325,56067.99
1667268000000,14.33,14.368,14.249,14.352,52324.82
1667271600000,14.353,14.397,14.253,14.272,70062.47
1667275200000,14.27,14.306,14.17,14.238,88783.56
1667278800000,14.237,14.285,14.15,14.167,91857.65
1667282400000,14.167,14.306,14.135,14.276,69257.88
1667286000000,14.276,14.298,14.113,14.169,60625.16
1667289600000,14.168,14.187,14.025,14.063,91803.9
1667293200000,14.066,14.175,13.953,13.98,146310.7
1667296800000,13.978,14.085,13.928,14.067,89789.99
1667300400000,14.067,14.076,13.895,13.976,94510.61
1667304000000,13.982,14.069,13.894,14.055,90736.21
1667307600000,14.058,14.058,13.85,13.929,81789.61
1667311200000,13.934,14.097,13.853,13.995,108425.62
1667314800000,13.99,14.2,13.976,14.179,130683
1667318400000,14.178,14.238,13.968,14.039,167807.62
1667322000000,14.041,14.15,14.008,14.144,59487.2
1667325600000,14.141,14.199,14.094,14.132,57596.14
1667329200000,14.136,14.155,13.942,13.943,70191.29
1667332800000,13.947,14.039,13.896,14.013,75578.63
1667336400000,14.012,14.116,14.01,14.054,47426.57
1667340000000,14.059,14.189,14.059,14.147,78181.64
1667343600000,14.146,14.199,14.074,14.074,58914.11
1667347200000,14.08,14.232,13.992,14.096,119344.11
1667350800000,14.102,14.103,13.956,13.964,65295.14
1667354400000,13.962,14,13.853,13.996,95967.99
1667358000000,13.997,14.021,13.921,13.931,67813.33
1667361600000,13.932,13.969,13.834,13.867,72738.73
1667365200000,13.867,13.932,13.84,13.878,53463.26
1667368800000,13.879,13.903,13.812,13.865,48690.79
1667372400000,13.865,13.879,13.64,13.755,117503.46
1667376000000,13.756,13.868,13.706,13.868,123048.52
1667379600000,13.866,13.93,13.595,13.616,112705.78
1667383200000,13.617,13.655,13.5,13.639,124484.41
1667386800000,13.637,13.699,13.61,13.649,53187.29
1667390400000,13.649,13.66,13.5,13.519,105130.49
1667394000000,13.513,13.597,13.43,13.454,75202.19
1667397600000,13.458,13.62,13.445,13.548,99708.24
1667401200000,13.548,13.591,13.5,13.536,72574.37
1667404800000,13.535,13.588,13.42,13.569,86327.54
1667408400000,13.568,13.569,13.355,13.442,103294.18
1667412000000,13.445,14.059,13.341,13.569,612477.87
1667415600000,13.567,13.798,13.26,13.312,319992.24
1667419200000,13.311,13.355,13.016,13.066,252112.05
1667422800000,13.064,13.192,13.04,13.191,76205.3
1667426400000,13.192,13.28,13.115,13.195,103254.7
