bol_window,bol_std,long_ma,sharpe_ratio,win_rate
120,1.0,800,2.22933788120051,40.0
120,1.5,800,2.22933788120051,40.0
100,3.0,500,2.2284055679268477,57.647058823529406
100,3.5,500,2.2284055679268477,57.647058823529406
140,1.0,500,2.203109643334234,40.46242774566474
140,1.5,500,2.203109643334234,40.46242774566474
120,1.0,500,2.172023363498775,40.10416666666667
120,1.5,500,2.172023363498775,40.10416666666667
120,1.0,550,2.1678416248671697,39.682539682539684
120,1.5,550,2.1678416248671697,39.682539682539684
120,1.0,450,2.152153983352772,39.48717948717949
120,1.5,450,2.152153983352772,39.48717948717949
140,1.0,550,2.149904184177372,39.411764705882355
140,1.5,550,2.149904184177372,39.411764705882355
100,3.0,550,2.130146929002134,57.14285714285714
100,3.5,550,2.130146929002134,57.14285714285714
120,1.0,700,2.1258044147044806,37.07865168539326
120,1.5,700,2.1258044147044806,37.07865168539326
120,1.0,750,2.122600057966115,37.714285714285715
120,1.5,750,2.122600057966115,37.714285714285715
100,2.0,550,2.121740300285041,45.0
100,2.5,550,2.121740300285041,45.0
140,1.0,800,2.1193217486607256,38.607594936708864
140,1.5,800,2.1193217486607256,38.607594936708864
140,1.0,700,2.1136058905831523,37.735849056603776
140,1.5,700,2.1136058905831523,37.735849056603776
120,1.0,400,2.089408875094312,37.93103448275862
120,1.5,400,2.089408875094312,37.93103448275862
120,1.0,600,2.0821489563498323,37.967914438502675
120,1.5,600,2.0821489563498323,37.967914438502675
140,1.0,650,2.0697587445644716,37.423312883435585
140,1.5,650,2.0697587445644716,37.423312883435585
140,1.0,450,2.062314410302451,38.67403314917127
140,1.5,450,2.062314410302451,38.67403314917127
100,2.0,600,2.0617618818958947,43.58974358974359
100,2.5,600,2.0617618818958947,43.58974358974359
140,1.0,600,2.0539319659259965,37.8698224852071
140,1.5,600,2.0539319659259965,37.8698224852071
140,1.0,750,2.0538846158102846,37.57961783439491
140,1.5,750,2.0538846158102846,37.57961783439491
100,3.0,350,2.0537988576069246,52.68817204301075
100,3.5,350,2.0537988576069246,52.68817204301075
100,2.0,500,2.051623252736267,44.171779141104295
100,2.5,500,2.051623252736267,44.171779141104295
120,1.0,650,2.038560536211267,36.0655737704918
120,1.5,650,2.038560536211267,36.0655737704918
100,3.0,450,2.0346267276959815,53.84615384615385
100,3.5,450,2.0346267276959815,53.84615384615385
120,1.0,850,2.001296353353902,38.285714285714285
120,1.5,850,2.001296353353902,38.285714285714285
100,3.0,400,2.000271563172516,52.68817204301075
100,3.5,400,2.000271563172516,52.68817204301075
100,1.0,800,1.996406144960753,36.09756097560975
100,1.5,800,1.996406144960753,36.09756097560975
100,3.0,300,1.98471717833162,53.125
100,3.5,300,1.98471717833162,53.125
140,1.0,850,1.9613688216040814,37.10691823899371
140,1.5,850,1.9613688216040814,37.10691823899371
120,1.0,350,1.9540639193556815,36.44859813084112
120,1.5,350,1.9540639193556815,36.44859813084112
120,1.0,300,1.948356031108087,36.79653679653679
120,1.5,300,1.948356031108087,36.79653679653679
100,1.0,750,1.9432057414475146,35.294117647058826
100,1.5,750,1.9432057414475146,35.294117647058826
140,1.0,400,1.9392347594505241,37.30569948186528
140,1.5,400,1.9392347594505241,37.30569948186528
100,2.0,450,1.9387696164158805,42.60355029585799
100,2.5,450,1.9387696164158805,42.60355029585799
120,1.0,900,1.9029866847406667,38.06818181818182
120,1.5,900,1.9029866847406667,38.06818181818182
120,2.0,550,1.9011442230506532,44.85294117647059
120,2.5,550,1.9011442230506532,44.85294117647059
100,3.0,600,1.8999503211102755,54.21686746987952
100,3.5,600,1.8999503211102755,54.21686746987952
80,2.0,550,1.8917979442245987,40.7035175879397
80,2.5,550,1.8917979442245987,40.7035175879397
100,1.0,500,1.891637905385138,34.070796460176986
100,1.5,500,1.891637905385138,34.070796460176986
100,3.0,750,1.8819047594301963,53.84615384615385
100,3.5,750,1.8819047594301963,53.84615384615385
100,2.0,650,1.8804432566907043,43.58974358974359
100,2.5,650,1.8804432566907043,43.58974358974359
100,3.0,650,1.879554646744601,55.00000000000001
100,3.5,650,1.879554646744601,55.00000000000001
100,1.0,450,1.8767112955645278,34.36123348017621
100,1.5,450,1.8767112955645278,34.36123348017621
100,1.0,850,1.8736876868818444,35.78431372549019
100,1.5,850,1.8736876868818444,35.78431372549019
100,3.0,800,1.8724562554485629,53.94736842105263
100,3.5,800,1.8724562554485629,53.94736842105263
20,3.0,100,1.8723319581089057,46.12676056338028
20,3.5,100,1.8723319581089057,46.12676056338028
100,1.0,550,1.8718872608977828,34.090909090909086
100,1.5,550,1.8718872608977828,34.090909090909086
100,1.0,700,1.8616622027888765,33.980582524271846
100,1.5,700,1.8616622027888765,33.980582524271846
100,2.0,400,1.8562018385503993,41.86046511627907
100,2.5,400,1.8562018385503993,41.86046511627907
100,3.0,700,1.8552845744934352,53.75
100,3.5,700,1.8552845744934352,53.75
120,2.0,500,1.8298698537152396,43.97163120567376
120,2.5,500,1.8298698537152396,43.97163120567376
140,2.0,550,1.829779317194433,45.52845528455284
140,2.5,550,1.829779317194433,45.52845528455284
140,1.0,300,1.8291132636349927,36.405529953917046
140,1.5,300,1.8291132636349927,36.405529953917046
100,1.0,900,1.8284761359428776,36.09756097560975
100,1.5,900,1.8284761359428776,36.09756097560975
160,1.0,500,1.8267834263575926,39.02439024390244
160,1.5,500,1.8267834263575926,39.02439024390244
100,3.0,850,1.824840424706712,52.702702702702695
100,3.5,850,1.824840424706712,52.702702702702695
80,1.0,800,1.8239851605309074,35.07462686567165
80,1.5,800,1.8239851605309074,35.07462686567165
100,1.0,650,1.8192064997196438,33.175355450236964
100,1.5,650,1.8192064997196438,33.175355450236964
120,2.0,600,1.8159760712050377,43.609022556390975
120,2.5,600,1.8159760712050377,43.609022556390975
140,1.0,900,1.7973297495189366,36.477987421383645
140,1.5,900,1.7973297495189366,36.477987421383645
80,4.0,700,1.7921932317410652,68.75
80,4.0,300,1.7910496953348762,65.11627906976744
80,1.0,750,1.7882904904753782,34.20074349442379
80,1.5,750,1.7882904904753782,34.20074349442379
100,1.0,600,1.7859737971309544,32.870370370370374
100,1.5,600,1.7859737971309544,32.870370370370374
60,3.0,500,1.7818606560752606,46.32352941176471
60,3.5,500,1.7818606560752606,46.32352941176471
80,2.0,500,1.7810895584541016,40.88669950738916
80,2.5,500,1.7810895584541016,40.88669950738916
100,2.0,750,1.7809039333707304,42.384105960264904
100,2.5,750,1.7809039333707304,42.384105960264904
100,2.0,800,1.7774879315368188,42.384105960264904
100,2.5,800,1.7774879315368188,42.384105960264904
100,3.0,250,1.7729316473444432,49.523809523809526
100,3.5,250,1.7729316473444432,49.523809523809526
100,2.0,850,1.7721603719259493,42.66666666666667
100,2.5,850,1.7721603719259493,42.66666666666667
80,4.0,800,1.7683748490656577,72.41379310344827
80,4.0,450,1.7644234350151675,65.78947368421053
80,4.0,550,1.7633240030463164,67.56756756756756
60,3.0,400,1.7622161691617948,44.36619718309859
60,3.5,400,1.7622161691617948,44.36619718309859
120,1.0,250,1.7590868423895065,34.66135458167331
120,1.5,250,1.7590868423895065,34.66135458167331
60,3.0,350,1.7582789786026067,44.75524475524475
60,3.5,350,1.7582789786026067,44.75524475524475
140,2.0,500,1.7545049912114843,44.96124031007752
140,2.5,500,1.7545049912114843,44.96124031007752
160,1.0,550,1.7526812026871028,37.03703703703704
160,1.5,550,1.7526812026871028,37.03703703703704
80,2.0,450,1.7526571697660238,40.09661835748793
80,2.5,450,1.7526571697660238,40.09661835748793
80,1.0,850,1.7505634414321332,34.831460674157306
80,1.5,850,1.7505634414321332,34.831460674157306
100,2.0,700,1.7434556689053766,42.30769230769231
100,2.5,700,1.7434556689053766,42.30769230769231
80,4.0,850,1.74187047362705,72.41379310344827
80,4.0,900,1.74187047362705,72.41379310344827
80,4.0,500,1.7395521241334146,65.78947368421053
60,3.0,550,1.7234684234219262,46.56488549618321
60,3.5,550,1.7234684234219262,46.56488549618321
60,3.0,300,1.7218143560749495,44.370860927152314
60,3.5,300,1.7218143560749495,44.370860927152314
80,4.0,650,1.7215433077653584,68.75
140,1.0,350,1.7206203081085676,35.32338308457712
140,1.5,350,1.7206203081085676,35.32338308457712
80,4.0,600,1.7155581014483792,67.64705882352942
80,4.0,750,1.712718540937169,67.74193548387096
100,2.0,900,1.70721093788555,41.891891891891895
100,2.5,900,1.70721093788555,41.891891891891895
80,2.0,600,1.7055676640238402,39.285714285714285
80,2.5,600,1.7055676640238402,39.285714285714285
80,4.0,350,1.7052319519879058,64.1025641025641
80,4.0,400,1.7052319519879058,64.1025641025641
60,3.0,450,1.7038581467883807,45.0
60,3.5,450,1.7038581467883807,45.0
80,4.0,50,1.7036258208859747,61.702127659574465
80,4.0,100,1.7036258208859747,61.702127659574465
80,4.0,150,1.7036258208859747,61.702127659574465
80,4.0,250,1.7017438252327697,62.22222222222222
160,1.0,800,1.6999060666035697,36.666666666666664
160,1.5,800,1.6999060666035697,36.666666666666664
60,3.0,800,1.6975005332054547,48.30508474576271
60,3.5,800,1.6975005332054547,48.30508474576271
80,1.0,700,1.6953869461062527,32.83582089552239
80,1.5,700,1.6953869461062527,32.83582089552239
20,3.0,150,1.6930537456071497,44.40298507462687
20,3.5,150,1.6930537456071497,44.40298507462687
160,1.0,450,1.6882001560458448,37.05882352941177
160,1.5,450,1.6882001560458448,37.05882352941177
20,2.0,100,1.6867690184169395,39.83849259757739
20,2.5,100,1.6867690184169395,39.83849259757739
60,3.0,750,1.685176131502845,47.107438016528924
60,3.5,750,1.685176131502845,47.107438016528924
100,2.0,350,1.6778221724678826,39.010989010989015
100,2.5,350,1.6778221724678826,39.010989010989015
160,1.0,700,1.6758271966880478,35.947712418300654
160,1.5,700,1.6758271966880478,35.947712418300654
80,1.0,900,1.675372276099641,34.962406015037594
80,1.5,900,1.675372276099641,34.962406015037594
80,4.0,200,1.6736905597698137,60.86956521739131
100,3.0,900,1.6724600331542123,50.0
100,3.5,900,1.6724600331542123,50.0
100,2.0,300,1.6691949466751024,39.26701570680628
100,2.5,300,1.6691949466751024,39.26701570680628
140,2.0,600,1.6688369512736894,42.97520661157025
140,2.5,600,1.6688369512736894,42.97520661157025
60,3.0,650,1.6668609627412558,46.45669291338583
60,3.5,650,1.6668609627412558,46.45669291338583
60,3.0,600,1.6663844139258535,45.3125
60,3.5,600,1.6663844139258535,45.3125
160,1.0,650,1.6655142597428665,35.6687898089172
160,1.5,650,1.6655142597428665,35.6687898089172
120,2.0,650,1.6608409410408502,42.74809160305343
120,2.5,650,1.6608409410408502,42.74809160305343
80,1.0,550,1.655135663911592,32.51748251748251
80,1.5,550,1.655135663911592,32.51748251748251
100,3.0,50,1.6537968944233703,46.49122807017544
100,3.0,100,1.6537968944233703,46.49122807017544
100,3.0,150,1.6537968944233703,46.49122807017544
100,3.5,50,1.6537968944233703,46.49122807017544
100,3.5,100,1.6537968944233703,46.49122807017544
100,3.5,150,1.6537968944233703,46.49122807017544
180,2.0,550,1.6536300948065839,39.81481481481482
180,2.5,550,1.6536300948065839,39.81481481481482
140,2.0,450,1.6533050683205743,43.7037037037037
140,2.5,450,1.6533050683205743,43.7037037037037
20,3.0,550,1.6522434173842597,46.411483253588514
20,3.5,550,1.6522434173842597,46.411483253588514
80,1.0,650,1.6509362398405476,31.751824817518248
80,1.5,650,1.6509362398405476,31.751824817518248
80,2.0,400,1.6496913153502557,38.497652582159624
80,2.5,400,1.6496913153502557,38.497652582159624
20,2.0,550,1.6495996626444271,40.213523131672595
20,2.5,550,1.6495996626444271,40.213523131672595
60,3.0,700,1.6495943210717592,46.400000000000006
60,3.5,700,1.6495943210717592,46.400000000000006
100,1.0,400,1.6469559233103443,32.916666666666664
100,1.5,400,1.6469559233103443,32.916666666666664
60,2.0,550,1.6442552868230729,40.725806451612904
60,2.5,550,1.6442552868230729,40.725806451612904
60,3.0,850,1.6439630988342164,47.5
60,3.5,850,1.6439630988342164,47.5
160,1.0,750,1.6406201763040176,36.241610738255034
160,1.5,750,1.6406201763040176,36.241610738255034
120,3.0,600,1.638185584653257,50.0
120,3.5,600,1.638185584653257,50.0
60,1.0,800,1.6355184070736366,32.57142857142858
60,1.5,800,1.6355184070736366,32.57142857142858
100,1.0,250,1.6291538675509847,32.97872340425532
100,1.5,250,1.6291538675509847,32.97872340425532
180,2.0,500,1.6268970918002383,40.0
180,2.5,500,1.6268970918002383,40.0
160,2.0,550,1.626606428541525,40.0
160,2.5,550,1.626606428541525,40.0
100,3.0,200,1.625736589165483,46.42857142857143
100,3.5,200,1.625736589165483,46.42857142857143
120,3.0,500,1.625119800267439,49.36708860759494
120,3.5,500,1.625119800267439,49.36708860759494
20,2.0,650,1.62472809508402,39.48339483394834
20,2.5,650,1.62472809508402,39.48339483394834
80,1.0,600,1.6244909661958378,31.785714285714285
80,1.5,600,1.6244909661958378,31.785714285714285
60,2.0,500,1.6205756885140128,40.87301587301587
60,2.5,500,1.6205756885140128,40.87301587301587
140,1.0,250,1.6164893941904899,33.33333333333333
140,1.5,250,1.6164893941904899,33.33333333333333
60,2.0,650,1.6157266987637036,39.24050632911392
60,2.5,650,1.6157266987637036,39.24050632911392
120,3.0,550,1.6126758315191536,50.649350649350644
120,3.5,550,1.6126758315191536,50.649350649350644
20,2.0,600,1.61160414821997,40.255009107468126
20,2.5,600,1.61160414821997,40.255009107468126
120,2.0,450,1.6109610911409726,42.281879194630875
120,2.5,450,1.6109610911409726,42.281879194630875
160,1.0,600,1.6098585792975635,35.80246913580247
160,1.5,600,1.6098585792975635,35.80246913580247
160,2.0,600,1.6073278300787621,39.63963963963964
160,2.5,600,1.6073278300787621,39.63963963963964
60,2.0,600,1.6050294121455129,39.66942148760331
60,2.5,600,1.6050294121455129,39.66942148760331
160,1.0,400,1.6043879731106692,35.19553072625698
160,1.5,400,1.6043879731106692,35.19553072625698
180,2.0,450,1.6028941783341697,40.17857142857143
180,2.5,450,1.6028941783341697,40.17857142857143
160,1.0,850,1.6021278391695264,36.241610738255034
160,1.5,850,1.6021278391695264,36.241610738255034
80,2.0,300,1.5979473969838263,37.33905579399141
80,2.5,300,1.5979473969838263,37.33905579399141
160,3.0,500,1.596570523542382,50.72463768115942
160,3.5,500,1.596570523542382,50.72463768115942
180,2.0,600,1.5952119086174865,39.42307692307692
180,2.5,600,1.5952119086174865,39.42307692307692
80,1.0,450,1.5933596559906877,32.29166666666667
80,1.5,450,1.5933596559906877,32.29166666666667
80,1.0,400,1.590356448133499,32.88590604026846
80,1.5,400,1.590356448133499,32.88590604026846
100,1.0,300,1.5898247310391076,32.82442748091603
100,1.5,300,1.5898247310391076,32.82442748091603
80,2.0,350,1.582877352396649,36.44444444444444
80,2.5,350,1.582877352396649,36.44444444444444
80,3.0,400,1.5828759762690268,49.137931034482754
80,3.5,400,1.5828759762690268,49.137931034482754
80,2.0,250,1.5825465741249038,37.6
80,2.5,250,1.5825465741249038,37.6
160,1.0,300,1.5809920612357704,34.78260869565217
160,1.5,300,1.5809920612357704,34.78260869565217
20,3.0,650,1.579208470336744,45.320197044334975
20,3.5,650,1.579208470336744,45.320197044334975
80,3.0,450,1.5714905412611244,48.24561403508772
80,3.5,450,1.5714905412611244,48.24561403508772
180,2.0,400,1.5707401430595618,40.51724137931034
180,2.5,400,1.5707401430595618,40.51724137931034
120,3.0,450,1.5675251729545832,47.5609756097561
120,3.5,450,1.5675251729545832,47.5609756097561
120,2.0,750,1.5663285374279097,41.86046511627907
120,2.5,750,1.5663285374279097,41.86046511627907
80,3.0,350,1.5626653896090805,48.275862068965516
80,3.5,350,1.5626653896090805,48.275862068965516
20,3.0,200,1.5626311677566087,44.12955465587044
20,3.5,200,1.5626311677566087,44.12955465587044
160,3.0,400,1.5614847836320582,50.0
160,3.0,450,1.5614847836320582,50.0
160,3.5,400,1.5614847836320582,50.0
160,3.5,450,1.5614847836320582,50.0
20,3.0,400,1.5609709690569422,45.794392523364486
20,3.5,400,1.5609709690569422,45.794392523364486
80,1.0,300,1.5597457133271453,32.81733746130031
80,1.5,300,1.5597457133271453,32.81733746130031
20,3.0,700,1.5597112110063416,45.22613065326633
20,3.5,700,1.5597112110063416,45.22613065326633
160,1.0,900,1.5585648045170761,35.76158940397351
160,1.5,900,1.5585648045170761,35.76158940397351
120,2.0,400,1.5584361599001484,41.66666666666667
120,2.5,400,1.5584361599001484,41.66666666666667
120,2.0,850,1.558304906132564,42.06349206349206
120,2.5,850,1.558304906132564,42.06349206349206
80,1.0,500,1.558075918648936,31.929824561403507
80,1.5,500,1.558075918648936,31.929824561403507
20,3.0,250,1.5574338625747475,44.35146443514644
