bol_window,bol_std,long_ma,short_ma,sharpe_ratio,win_rate
160,3.0,150,100,1.8337994841223397,58.97435897435898
160,3.0,250,100,1.8337994841223397,58.97435897435898
80,2.0,250,120,1.833725624679382,35.406698564593306
60,2.0,950,120,1.8330388709216083,36.0655737704918
60,2.0,350,100,1.833003771138345,38.18181818181819
80,1.0,450,100,1.8325890155273925,31.872509960159363
40,3.0,950,100,1.8310915916207884,45.689655172413794
80,1.0,950,120,1.8302960609591004,29.23728813559322
40,2.0,750,60,1.8285711860249743,37.07865168539326
60,1.0,650,120,1.82582976186144,26.11683848797251
20,2.0,750,100,1.825087440056629,32.55813953488372
100,3.0,850,100,1.824840424706712,52.702702702702695
160,3.0,350,120,1.8242756455597897,51.35135135135135
180,3.0,450,100,1.824110708573857,60.9375
140,1.0,550,80,1.8237319927111328,34.701492537313435
160,1.0,350,100,1.8218387593133927,33.75
80,2.0,650,100,1.8209918684441195,41.95402298850575
80,1.0,750,60,1.819939402361422,33.126934984520126
20,2.0,850,100,1.8198137441506328,32.45614035087719
100,1.0,650,100,1.8192064997196438,33.175355450236964
80,4.0,750,100,1.8190654709515068,67.74193548387096
80,3.0,850,100,1.8171718858064054,49.43820224719101
180,2.0,450,80,1.814563882904093,47.14285714285714
40,2.0,250,100,1.8140554839118335,33.45454545454545
180,1.0,850,120,1.8136485694828415,35.50295857988166
180,1.0,550,100,1.8125719027622462,33.4841628959276
80,4.0,350,100,1.8123940363433226,63.1578947368421
80,2.0,750,120,1.8123602346775534,37.908496732026144
40,3.0,250,80,1.8123385082762662,41.104294478527606
180,1.0,650,120,1.8123116227766103,33.70786516853933
40,2.0,350,80,1.8117946826711158,33.68421052631579
100,2.0,750,120,1.8095219788246415,39.285714285714285
180,1.0,850,100,1.8094996996165178,34.01015228426396
80,4.0,650,100,1.8082132542732188,68.75
60,1.0,750,120,1.8080163257345672,26.027397260273972
180,2.0,650,100,1.804729871051706,49.166666666666664
80,4.0,50,100,1.8046819841528459,60.86956521739131
80,4.0,150,100,1.8046819841528459,60.86956521739131
20,1.0,750,100,1.8038250414440855,29.80456026058632
20,3.0,550,100,1.803659629586565,41.78082191780822
80,4.0,250,100,1.8030962147427665,61.36363636363637
180,1.0,650,100,1.8023858708731069,33.014354066985646
40,1.0,850,80,1.800932484458555,27.81774580335731
60,2.0,450,80,1.799922215796108,40.0
60,2.0,750,80,1.797344161048948,39.02439024390244
20,1.0,850,100,1.7968622368009326,29.629629629629626
180,3.0,550,100,1.7968294038140213,61.904761904761905
40,2.0,850,60,1.7959184499484628,37.453183520599254
140,2.0,450,100,1.7953974857878587,43.91891891891892
20,1.0,650,120,1.7934338589899281,29.597197898423815
40,3.0,50,100,1.793167311862895,40.0
80,3.0,550,100,1.789451280257074,51.515151515151516
80,1.0,750,80,1.7882904904753782,34.20074349442379
160,1.0,650,60,1.7862745540473568,28.934010152284262
120,3.0,550,100,1.7854200348629201,57.692307692307686
40,3.0,150,100,1.7843506718867264,39.66480446927375
100,3.0,650,80,1.784272819242055,53.65853658536586
20,1.0,550,80,1.7836532748252814,29.30232558139535
40,1.0,450,100,1.7836166695212694,27.877237851662407
20,2.0,550,60,1.7829049817263625,32.38770685579196
100,2.0,850,120,1.782199410628797,39.285714285714285
100,2.0,750,100,1.7809039333707304,42.384105960264904
100,3.0,750,80,1.7806988526695862,52.5
60,1.0,850,80,1.7801883765563078,32.25806451612903
40,1.0,950,100,1.7801281764092114,26.108374384236456
80,1.0,850,60,1.7767563103896846,33.64485981308411
160,3.0,450,80,1.776481688662153,60.526315789473685
60,3.0,150,80,1.7759442025072778,44.91017964071856
80,2.0,750,100,1.7754127545868663,42.42424242424242
40,2.0,350,120,1.775061232194361,32.800000000000004
20,2.0,450,120,1.7744643887355787,33.4384858044164
160,1.0,950,100,1.7736058771485987,35.9375
100,3.0,250,100,1.7729316473444432,49.523809523809526
100,2.0,850,100,1.7721603719259493,42.66666666666667
140,1.0,450,80,1.7715163766432895,35.483870967741936
160,1.0,750,60,1.7704052117015452,28.79581151832461
180,2.0,650,120,1.767085170727453,43.36283185840708
120,3.0,550,80,1.7665261911734362,56.9620253164557
120,1.0,950,120,1.7664175857777955,37.07865168539326
60,3.0,150,20,1.7663963320762646,45.27363184079602
40,2.0,50,100,1.7663917784463101,32.35294117647059
80,4.0,450,80,1.7644234350151675,65.78947368421053
80,4.0,550,80,1.7633240030463164,67.56756756756756
60,2.0,950,80,1.7628695124745464,39.5
160,3.0,350,80,1.7623345608173666,59.74025974025974
160,2.0,550,120,1.7621113471878118,42.857142857142854
40,1.0,450,80,1.7608340784656507,29.1970802919708
