bol_window,bol_std,long_ma,sharpe_ratio,win_rate
65,3.0,500,2.2583957834455406,50.42016806722689
65,3.0,400,2.2491464563814745,48.41269841269841
65,3.0,550,2.240537055312705,50.877192982456144
65,3.0,450,2.225568991412945,49.193548387096776
65,3.0,600,2.2083911434561934,50.0
65,3.0,350,2.1960028711173623,47.61904761904761
65,3.0,300,2.157014055750957,47.32824427480916
100,3.0,500,2.133442852963912,57.14285714285714
65,3.0,800,2.1137145003558304,53.0
65,3.0,650,2.111964763697788,50.45871559633027
115,1.0,550,2.101119989944924,36.734693877551024
115,1.5,550,2.101119989944924,36.734693877551024
115,1.0,500,2.100534270528568,37.68844221105528
115,1.5,500,2.100534270528568,37.68844221105528
65,3.0,700,2.094577798999587,50.467289719626166
65,3.0,750,2.08542942419581,50.96153846153846
65,3.0,850,2.080454672679519,51.9607843137255
105,2.0,550,2.0573562231749905,45.63758389261745
105,2.5,550,2.0573562231749905,45.63758389261745
115,1.0,700,2.046080296990453,34.97267759562842
115,1.5,700,2.046080296990453,34.97267759562842
100,2.0,550,2.0396877286798447,44.65408805031446
100,2.5,550,2.0396877286798447,44.65408805031446
100,3.0,550,2.034489332491296,56.62650602409639
70,3.0,600,2.0118997209240885,49.54128440366973
115,1.0,750,2.00883007759136,35.35911602209944
115,1.5,750,2.00883007759136,35.35911602209944
95,3.0,500,2.006457954521501,57.95454545454546
115,1.0,450,2.0046847911976227,37.12871287128713
115,1.5,450,2.0046847911976227,37.12871287128713
65,3.0,250,2.0013738963075043,44.75524475524475
115,1.0,600,1.9980452144108596,35.41666666666667
115,1.5,600,1.9980452144108596,35.41666666666667
115,1.0,800,1.9955342892708219,36.81318681318682
115,1.5,800,1.9955342892708219,36.81318681318682
105,2.0,600,1.9865015078921824,45.51724137931035
105,2.5,600,1.9865015078921824,45.51724137931035
95,2.0,550,1.9827079264672274,42.42424242424242
95,2.5,550,1.9827079264672274,42.42424242424242
100,2.0,600,1.9789811866058298,43.225806451612904
100,2.5,600,1.9789811866058298,43.225806451612904
105,2.0,500,1.9720947214673339,44.44444444444444
105,2.5,500,1.9720947214673339,44.44444444444444
95,2.0,600,1.9710455821829331,43.47826086956522
95,2.5,600,1.9710455821829331,43.47826086956522
100,2.0,500,1.9697366768294882,43.82716049382716
100,2.5,500,1.9697366768294882,43.82716049382716
115,1.0,650,1.9688127777170057,34.04255319148936
115,1.5,650,1.9688127777170057,34.04255319148936
100,3.0,350,1.9585214361151861,52.17391304347826
70,2.0,550,1.9550198600376947,42.129629629629626
70,2.5,550,1.9550198600376947,42.129629629629626
100,3.0,450,1.9391327715344617,53.333333333333336
70,3.0,500,1.9348978462186015,48.739495798319325
115,1.0,850,1.9338106711712209,36.26373626373626
115,1.5,850,1.9338106711712209,36.26373626373626
65,3.0,200,1.9302113747851761,44.370860927152314
70,3.0,650,1.9282020555620152,49.532710280373834
70,3.0,800,1.9212029867792115,51.515151515151516
70,3.0,400,1.9181496597687326,47.58064516129033
95,3.0,400,1.91757004917396,55.91397849462365
70,3.0,700,1.9136691934980177,49.523809523809526
110,2.0,550,1.9136472933874509,42.465753424657535
110,2.5,550,1.9136472933874509,42.465753424657535
70,3.0,350,1.912884019782503,47.540983606557376
110,1.0,500,1.9091748103127453,34.43396226415094
110,1.5,500,1.9091748103127453,34.43396226415094
100,1.0,800,1.9086628327880382,35.78431372549019
100,1.5,800,1.9086628327880382,35.78431372549019
95,3.0,550,1.9084977761649717,57.47126436781609
70,3.0,850,1.9063155050190732,50.495049504950494
100,3.0,400,1.904339476758518,52.17391304347826
85,2.0,550,1.8984921245616835,41.39784946236559
85,2.5,550,1.8984921245616835,41.39784946236559
70,3.0,450,1.8976226126999016,47.540983606557376
110,2.0,500,1.895810165615714,42.0
110,2.5,500,1.895810165615714,42.0
105,1.0,800,1.8918723133394042,36.04060913705584
105,1.5,800,1.8918723133394042,36.04060913705584
100,3.0,300,1.8912505292311421,52.63157894736842
70,2.0,500,1.8899842332533807,42.00913242009132
70,2.5,500,1.8899842332533807,42.00913242009132
70,3.0,750,1.8885929133466657,50.0
115,1.0,250,1.886176601654578,33.984375
115,1.5,250,1.886176601654578,33.984375
115,1.0,400,1.8838536225569575,34.92822966507177
115,1.5,400,1.8838536225569575,34.92822966507177
90,2.0,550,1.8831471497560095,41.47727272727273
90,2.5,550,1.8831471497560095,41.47727272727273
70,3.0,550,1.8769415672030543,49.137931034482754
105,2.0,450,1.873302882041984,43.67088607594937
105,2.5,450,1.873302882041984,43.67088607594937
105,1.0,750,1.8673813539136637,35.35353535353536
105,1.5,750,1.8673813539136637,35.35353535353536
95,3.0,450,1.8650239338588936,54.83870967741935
70,3.0,300,1.8602222212662571,45.3125
95,3.0,350,1.8564481277763818,54.166666666666664
100,2.0,450,1.856083113108135,42.26190476190476
100,2.5,450,1.856083113108135,42.26190476190476
100,1.0,750,1.8540164345903098,34.97536945812808
100,1.5,750,1.8540164345903098,34.97536945812808
110,1.0,550,1.8534195471046486,34.92822966507177
110,1.5,550,1.8534195471046486,34.92822966507177
